game_id,rally,n_set_rows,n_in,n_out,max_in_run,in_share,out_share,team_a_in_share,team_a_max_in_run,team_a_n_in,team_a_n_out,team_a_n_set_rows,team_a_out_share,team_b_in_share,team_b_max_in_run,team_b_n_in,team_b_n_out,team_b_n_set_rows,team_b_out_share,winning_team
1,171,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,172,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,173,2,2,0,2,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,,,,,,,a
1,174,4,2,2,2,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,2.0,2.0,1.0,3.0,0.3333333333333333,b
1,175,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a
1,177,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,a
1,178,3,2,1,1,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0,0.5,b
1,179,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a
1,180,2,1,1,1,0.5,0.5,,,,,,,0.5,1.0,1.0,1.0,2.0,0.5,a
1,181,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
1,182,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,184,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
1,185,3,1,2,1,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,a
2,2,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,3,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,4,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,b
2,5,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,6,3,2,1,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,b
2,7,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,b
2,9,3,1,2,1,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,a
2,11,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,a
2,12,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,a
2,14,3,1,2,1,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,b
2,17,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,b
2,18,3,2,1,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,a
2,20,2,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,21,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,a
2,22,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,23,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,24,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,25,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,26,2,0,2,0,0.0,1.0,,,,,,,0.0,0.0,0.0,2.0,2.0,1.0,a
2,27,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,28,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,31,3,1,2,1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,b
2,33,2,2,0,2,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,,,,,,,a
2,34,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
2,35,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,36,2,1,1,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,b
2,37,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,b
2,38,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,39,3,3,0,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,a
2,40,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,41,3,1,2,1,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,a
2,42,2,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,43,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,44,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,45,3,1,2,1,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,a
2,46,2,1,1,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,a
2,50,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,53,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
2,55,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,57,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,58,4,1,3,1,0.25,0.75,0.0,0.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,b
2,59,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,60,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
2,61,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,a
2,64,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,66,2,1,1,1,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,67,2,1,1,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,a
2,68,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,69,2,1,1,1,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,,,,,,,a
2,70,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,71,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,a
2,72,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,73,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,a
2,74,2,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,a
2,75,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,a
2,77,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,78,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,b
2,80,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,a
2,81,1,0,1,0,0.0,1.0,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,a
2,82,3,1,2,1,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,b
2,83,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,b
2,84,2,1,1,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,b
2,85,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,86,3,1,2,1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,a
2,87,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,89,4,2,2,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,2.0,1.0,3.0,0.3333333333333333,a
2,90,3,2,1,2,0.6666666666666666,0.3333333333333333,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,b
2,91,3,2,1,1,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0,0.5,b
2,95,4,2,2,2,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,a
2,96,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,97,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,a
2,98,1,1,0,1,1.0,0.0,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,b
2,99,2,2,0,2,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,,,,,,,a
2,100,2,2,0,2,1.0,0.0,,,,,,,1.0,2.0,2.0,0.0,2.0,0.0,b
